Mes chers compatriotes,	친애하는 동포들,	Mi Compatriotots:
Pour la sixième fois, j’ai le privilège de partager avec vous ce moment des vœux.	여섯 번째로, 나는이 소원의 순간을 당신과 나누는 특권이 있습니다.	Nam sextus ego privilegio communicationem tecum temporis vota.
Avec vous, officiers et soldats dans notre armée, qui nous protégez, avec vous, policiers, gendarmes, pompiers, forces de sécurité, sauveteurs en mer, qui veillez sur cette soirée.	당신과 함께, 우리 군대의 장교와 군인들과 함께 우리를 보호하는 경찰, 젠더, 소방관, 보안군, 바다의 구조대, 오늘 저녁.	Cum autem duces militibus in exercitu, qui defendat nos tecum, vigilum, Gendarmes, firefighters, securitatem viribus, eripuit in mari, qui ad vesperam.
Avec vous, médecins, soignants, patients.	당신, 의사, 간병인, 환자.	Et vos doctores, caregivers, aegroti.
Avec vous, agents publics qui assurez la continuité de nos services.	귀하와 함께, 우리 서비스의 연속성을 보장하는 공무원.	Et vos, publica magistratus qui continuitatem nostra officia.
Avec vous, citoyens engagés professionnellement ou dans nos associations.	당신과 함께 시민들은 전문적으로 또는 우리의 협회에 헌신했습니다.	Et tu cives professionally vel in consociationibus.
Avec vous, nos compatriotes d’outre-mer.	당신과 함께, 우리의 해외 동포들.	Apud te nostra transmarinis compatriots.
Avec vous tous qui êtes en famille en France ou à l’étranger, et plus particulièrement avec vous dont la vie a fait que vous vous sentez seuls ce soir.	프랑스 나 해외에서 가족과 함께하는 여러분, 특히 오늘 저녁에 당신을 혼자 느끼게 한 당신과 함께합니다.	Cum omnibus vobis, qui cum domo in Gallia vel foris, et praecipue apud te quorum vita fecit vos sentio sola hoc vesperum.
Vous qui êtes dans l’épreuve, et vers qui vont nos pensées.	시험을 치르는 당신과 우리의 생각이가는 당신.	Vos qui in test, et ad quem cogitationes nostras.
Les cérémonies de vœux ont ceci de singulier : elles obligent à parler d’un futur qu’en vérité, on ne connaît pas, dont nous savons pourtant avec certitude que nous devrons l’affronter, avec nos forces et nos faiblesses, mais en pays uni.	인사 의식은이 단수를 가지고 있습니다. 그들은 진실로 미래에 대해 말하도록 강요합니다. 우리는 우리가 우리의 강점과 약점과 함께 직면해야 할 것이라는 확실성을 알고 있지만, 국가에서 우리는 확실하게 알고 있습니다.	Salutem cæremonias hoc singulare: et vim loquuntur de futuro in veritate, nescimus, quod scimus certitudine quod habebimus ad faciem, cum virtutibus nostris et infirmitatibus nostris, sed in regione united.
Dans les responsabilités qui sont les miennes, je ne perds jamais de vue cet impératif d’unité de la nation que nous formons tous ensemble.	내 책임에서, 나는 우리 모두가 함께 형성하는 국가의 통일성에 대한이 명령을 결코 잃지 않습니다.	In officiis quae sunt mea, numquam perdito huius imperative unitatis gentis ut omnes formam.
Si nous cédions à l’esprit de division qui nous presse de toute part, nous n’aurions à peu près aucune chance de nous en sortir, dans un monde si rude, dans des temps si durs.	만약 우리가 사방에서 우리를 압박하는 분열의 정신에 주었다면, 우리는 그러한 힘든시기에 그런 가혹한 세상에서 그것을 벗어날 기회가 거의 없을 것입니다.	Si dederimus ad spiritum divisioni, qui nos ab omnibus utrimque, ut non dure non casu ut ex eo, in tali dura mundi, in tali dura tempora.
Alors je nous souhaite donc de vivre 2023, autant que possible, en pays uni et solidaire, reconnaissants la place de chacun et respectueux de tous.	그러므로 나는 우리가 가능한 2023 년에 유나이티드와 유나이티드 국가에서 모든 사람의 자리에 감사하고 모든 사람을 존중하기를 바랍니다.	Itaque ita ut vivat MMXXIII, quantum fieri potest, in united et united patriam gratiam ad omnem locum et reverentiam omnium.
Je repense aux vœux que je vous présentais à la même heure, il y a un an.	나는 1 년 전에 동시에 당신에게 제시 한 소원으로 되돌아갑니다.	Puto ad vota, quae ego ad vos simul a anno elapso.
Qui aurait imaginé à cet instant, que, pensant sortir avec beaucoup de difficultés d’une épidémie planétaire, nous aurions à affronter en quelques semaines, d’inimaginables défis : la guerre revenue sur le sol européen après l’agression russe jetant son dévolu sur l’Ukraine et sa démocratie ; des dizaines, peut-être des centaines de milliers de morts, des millions de réfugiés, une effroyable crise énergétique, une crise alimentaire menaçante, l’invocation des pires menaces, y compris nucléaires ?	이 순간, 행성 전염병의 큰 어려움으로 생각하면서 우리는 몇 주 안에 상상할 수없는 도전에 직면해야한다고 상상했을 것입니다. 러시아의 침략이 우크라이나와 민주주의에 대한 시력을 설정 한 후 전쟁이 유럽 토양으로 돌아 왔습니다.수십, 아마도 수십만 명의 사망자, 수백만 명의 난민, 끔찍한 에너지 위기, 위협적인 식량 위기, 핵을 포함한 최악의 위협의 호출?	Quis hoc momento excogitari, quod cogitas cum magna difficultas planetarum pestilentia, ut haberet ad faciem in paucis weeks, unimaginable challenges, bellum rediit ad European solo post Russian irascibilem posuit in terris in Ucraina et DemocracyDozens, fortasse centum millia mortes, decies exules, horribili navitas discrimine, a minabatur cibum discrimen, invocatio pessimus minas, inter nuclei?
Qui aurait pu prédire la vague d’inflation, ainsi déclenchée ?	누가 인플레이션 파를 예측했을 수 있었습니까?	Quis potuit praedicta inflatione unda, ita Urguet?
