fr	en
question russe	Russian question
modèle américain	American model
industries traditionnelles	traditional industries
demandes pressantes	pressing demands
contenu opérationnel	operational content
produits agricoles	agricultural products
marché parallèle	parallel market
décision lourde	heavy decision
politique monétaire	monetary policy
entreprise américaine	American company
dépenses éducatives	educational expenses
progression rapide	rapid progress
arrivée italienne	Italian arrival
chaises musicales	musical chairs
économie syrienne	Syrian economy
secteur public	public sector
services informatiques	computer services
permanents syndicaux	trade union officials
manière brutale	abruptly
affrontements ethniques	ethnic clashes
